Unnamed: 0,번호,제목,저자,출판사,출판일
,100,Research on Face Recognition Sports Intelligence Training Platform Based on Artificial Intelligence,"Yang, Jie;Tang, LianXin-Wei, Li",World Scientific Publishing,2021
,1,Combined Method of Artificial Intelligence Regression Forecasting Models Under Fluctuating Errors,"Liu, Hongjiu;Liu, QingyangHu, Yanrong",World Scientific,2019
,2,IEEE Transactions on Artificial Intelligence,unknown,IEEE,2021
,3,Recent Domain-Specific Applications of Artificial Intelligence Using IoT,"Mali, Amol D.",World Scientific,2019
,4,Guest Editorial: Special Issue on Artificial Intelligence for Robotics,"He, Wei; Li, Zhijun; Kayacan, Erdal; Huang, Catherine; Basin, Michael V.",IEEE,2021
,5,2020 Index IEEE Transactions on Artificial Intelligence Vol. 1,unknown,IEEE,2021
,6,IEEE Transactions on Artificial Intelligence,unknown,IEEE,2021
,7,Annals of Mathematics and Artificial Intelligence,unknown,J C BALTZER AG,2002
,8,IEEE Transactions on Artificial Intelligence,unknown,IEEE,2021
,9,If There is Artificial Intelligence? Is There Such a Thing as Artificial Stupidity,Jay Liebowitz,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",1989
,10,How much intelligence is there in artificial intelligence? A 2020 update,Han L.J. van der Maas; Lukas Snoek; Claire E. Stevenson,Ablex,2021
,11,Distributed Artificial Intelligence: An Annotated Bibliography,V. Jagannathan;Rajendra Dodhiawala,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",1986
,12,Research themes and trends in artificial intelligence: an author co-citation analysis,Wullianallur Raghupathi ; Sridhar P. Nerur,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",1999
,13,A Practical Artificial Intelligence-Based Predictor for Real Time Stock Index Forecasting Problem,"Li, H.; Dagli, C. H.",ASME,2003
,14,"The future of intelligence: The central meaning-making unit of intelligence in the mind, the brain, and artificial intelligence",Andreas Demetriou; Hudson Golino; George Spanoudis; Nikolaos Makris; Samuel Greiff,Ablex,2021
,15,The Continuing Hoax of `Artificial Intelligence': The Multi-Billion Dollar Boondoggle,"LaRouche, Lyndon H.",EXECUTIVE INTELLIGENCE REVIEW NEWS SERVICE INC,2023
,16,"Editor's Introduction to ""The 34th Annual Conference of the Japanese Society for Artificial Intelligence""",Akisato Kimura,Japanese Society for Artificial Intelligence,2020
,17,Artificial intelligence-aided nanoplasmonic biosensor modeling,"Hamedi, Samaneh","Elsevier Science B.V., Amsterdam.",2023
,18,"Collective Complexity out of Individual Simplicity: A Review of Swarm Intelligence: From Natural to Artificial Systems, by Eric Bonabeau, Marco Dorigo, and Guy Theraulaz","Martinoli, A.",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2001
,19,Artificial intelligence-based estimation of flushing half-cone geometry,"Emamgholizadeh, S.; Bateni, S. M.; Jeng, D. S.","Elsevier Science B.V., Amsterdam.",2013
,20,Artificial intelligence‐based wind forecasting using variational mode decomposition,"Vanitha
 V","John Wiley & Sons, Inc.",2021
,21,Artificial intelligence‐based novel scheme for location area planning in cellular networks,"Vrince
 Vimal",wiley,2021
,22,Artificial intelligence-based damage localization method for building structures using correlation of measured structural responses,"Oh, Byung Kwan","Elsevier Science B.V., Amsterdam.",2023
,23,Explainable Artificial Intelligence: Concepts and Current Progression,"Kangra, Kirti",Springer Nature,2023
,24,An artificial intelligence‐based smart health system for biological cognitive detection based on wireless telecommunication,"Babu, Manikam",John Wiley & Sons Ltd,2022
,25,Developments in Applied Artificial Intelligence: Guest Editor???s Introduction,"Hendtlass, T.",Springer Science + Business Media,2005
,26,AIDrugApp: artificial intelligence-based Web-App for virtual screening of inhibitors against SARS-COV-2,"Karade, Divya",Taylor & Francis,2023
,27,Planning and Control in Artificial Intelligence: A Unifying Perspective,"Bonet, B.",KLUWER ACADEMIC PUBLISHERS BOSTON,2001
,28,Multimodal Artificial Intelligence: Next Wave of Innovation in Healthcare and Medicine,"Shaban-Nejad, Arash",Springer Nature,2023
,29,Towards Understanding Human Functional Brain Development With Explainable Artificial Intelligence: Challenges and Perspectives,"Kiani, Mehrin; Andreu-Perez, Javier; Hagras, Hani; Rigato, Silvia; Filippetti, Maria Laura",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2022
,30,"Evolutionary Fuzzy Systems for Explainable Artificial Intelligence: Why, When, What for, and Where to?","Fernandez, Alberto; Herrera, Francisco; Cordon, Oscar; Jose del Jesus, Maria; Marcelloni, Francesco",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2019
,31,What is Artificial Intelligence? Psychometric AI as an Answer,"Bringsjord, S.; Schimanski, B.",LAWRENCE ERLBAUM ASSOCIATES LTD,2003
,32,Research Trends on the Role of Big Data in Artificial Intelligence: A Bibliometric Analysis,"Cardona-Acevedo, Sebastián",Springer Nature,2023
,33,"A systematic literature review on software defect prediction using artificial intelligence: Datasets, Data Validation Methods, Approaches, and Tools","Pachouly, Jalaj","Elsevier Science B.V., Amsterdam.",2022
,34,Engineering applications of artificial intelligence: A bibliometric analysis of 30 years (1988–2018),"Shukla, Amit K.; Janmaijaya, Manvendra; Abraham, Ajith; Muhuri, Pranab K.","Elsevier Science B.V., Amsterdam.",2019
,35,A Study on Industrial Artificial Intelligence-Based Edge Analysis for Machining Facilities,"Lee, Han",Springer Verlag,2023
,36,A Study of eXplainable Artificial Intelligence: A Systematic Literature Review of the Applications,"Kumar, Sunil",Springer Nature,2023
,37,Multidisciplinary Trends in Modern Artificial Intelligence: Turing's Way,"Benderskaya, E.N.; Zhukova, S.V.",Springer Science,2013
,38,The risks associated with Artificial General Intelligence: A systematic review,"McLean, Scott",Taylor & Francis,2023
,39,Smart farming using artificial intelligence: A review,"Akkem, Yaganteeswarudu","Elsevier Science B.V., Amsterdam.",2023
,40,The role of artificial intelligence-driven soft sensors in advanced sustainable process industries: A critical review,"Perera, Yasith S.","Elsevier Science B.V., Amsterdam.",2023
,41,Artificial Intelligence as A Technology of Approximation,"Partridge, D.","Beijing:; Beijing University Posts and Telecommunications Press,",2006
,42,An Evolution Brain Model for Artificial Intelligence,"Lu, Y.; Cha, J.","Beijing:; Beijing University Posts and Telecommunications Press,",2006
,43,Artificial Intelligence in the Network : a Rule Based Service Control System Prototype,"Seim, H.",unknown,1992
,44,(BOOK REVIEWS) Multiagent Systems: A Modern Approach to Distributed Artificial Intelligence,David L. Sallach,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",2000
,45,Introduction of Artificial Intelligence Techniques for Real-Time Traffic Management of Circuit-Switched Networks,"Stern, D.;Chemouil, P.",unknown,1992
,46,ARTIFICIAL INTELLIGENCE METHODS FOR AMBIENT INTELLIGENCE,"Remagnino, P.; Shapiro, D.",Blackwell Publishing Ltd,2007
,47,Artificial Intelligence Related Activities of Boeing's Advanced Computing Group,"Scarl, E.; Tanner, S.; Fennel, R.",Florida Al Research Society,1994
,48,Artificial intelligence and interactive entertainment,Robert St. Amant; R. Michael Young,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",2001
,49,Interdisciplinary artificial intelligence,Deepak Kumar ; Ricard Wyatt,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",2000
,50,The Stage One Turing Test as an Artificial Intelligence Class Exercise,Nancy Lynn Tinkham;Darren F. Provine,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",1995
,51,Artificial Intelligence for the Control of Underwater Vehicles,"Van de Ven, P. W. J.; Flanagan, C.; Toal, D.",ASME,2003
,52,"Exploration, redescription and design creativity: Research directions for artificial intelligence in design","Gero, J. S.",University of Sydney,1995
,53,The future of intelligence research in the coming age of artificial intelligence – With a special consideration of the philosophical movements of trans- and posthumanism,Aljoscha C. Neubauer,Ablex,2021
,54,A contribution to research directions for artificial intelligence in design,"Grabowski, H.; Rude, S.; Lossack, R.-S.",University of Sydney,1995
,55,AI Online: The Coverage of the Literature of Artificial Intelligence in Online Bibliographic Databases,William J. Mills,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",1989
,56,The Application of Artificial Intelligence to Law Enforcement,"Neves, J.; Machado, J.; Abelha, A.",ACM,1997
,57,Artificial Intelligence Is Not Artificial,"Binney, William",EXECUTIVE INTELLIGENCE REVIEW NEWS SERVICE INC,2019
,58,Artificial Organic Networks Artificial Intelligence Based on Carbon Networks,"Ponce-Espinosa, H.; Ponce-Cruz, P.; Molina, A.",Springer Science,2014
,59,Stories and plays about the ethical and social implications of artificial intelligence,Richard G. Epstein; Deepak Kumar,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",2000
,60,Research and Application of Artificial Intelligence for Water Environment Protection,"Liu, Z.; Lian, X.; Wang, X.; Hou, C.; Liu, C.; Wu, Y.","Beijing:; Beijing University Posts and Telecommunications Press,",2006
,61,Artificial Intelligence in Intelligent Robots,"Swiatnicki, Z.",ASME,2000
,62,Artificial Intelligence at Work: Using Intelligent Technology to Automate Agricultural Knowledge and Best Practices,"Ownby, J.; Binney, D.; Mazzoni, P.","CSREA Press,",2002
,63,Blending Natural Intelligence with Artificial Intelligence,"Kahanda, G.; Kazmi, T.; Leung, L.; Mollah, N.; Waraporn, N.; Pinto, M.; Yahya, T.; Ahamed, S. V.","CSREA Press,",2002
,64,Progress of Artificial Intelligence,"Shi, Z.; Shi, C.","Beijing:; Beijing University Posts and Telecommunications Press,",2006
,65,Java resource for artificial intelligence,Syed S. Ali; Susan McRoy,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",2000
,66,DIALECT 2: An Information Retrieval System Based on Distributed Artificial Intelligence Tools,"Braunwarth, M.; Mekaouche, A.; Bassano, J.-C.",IEEE Computer Society Press,1994
,67,Using Artificial Intelligence Techniques and Knowledge Engineering for Advanced Knowledge Management,"Boury-Brisset, A.-C.",CSREA Press,1999
,68,Text-Based Systems and Information Management: Artificial Intelligence Confronts Matters of Scale,"Jacobs, P. S.",IEEE Computer Society Press,1994
,69,Principled Animation of Artificial Intelligence Algorithms,"Perlin, M.",IEEE Computer Society Press,1993
,70,An Interactive Train Scheduling Workbench Based on Artificial Intelligence,"Lin, H.-C.; Hsu, C.-C.",IEEE Computer Society Press,1994
,71,Visualizing Dynamic Artificial Intelligence Algorithms and Applications,"Perlin, M. W.",IEEE Computer Society Press,1993
,72,Infinite Series 2000. The Use of an Artificial Intelligence Toolkit for Studying a Specific Calculus Problem,"da Graca Pereira, M.",CSREA Press,1999
,73,SCHILLER INSTITUTE YOUTH CONFERENCE Creativity in the Age of Artificial Intelligence,"Sultan, Chérine",EXECUTIVE INTELLIGENCE REVIEW NEWS SERVICE INC,2020
,74,Integrating Artificial Intelligence and Decision Theory to Forecast New Products,"Klein, D.",North-Holland,1990
,75,2D/3D Medical Image Fusion and Artificial Neural Network-Artificial Intelligence Approaches,"Vajdic, S. M.; Bouzerdoum, A.; Brooks, M. J.; Downing, A. R.",National Cheng Kung University,1994
,76,Robotics and Artificial Intelligence,Takayuki Nagai ; Kensuke Harada ; Hiroshi Ishiguro ; Koh Hosoda,Japanese Society for Artificial Intelligence,2020
,77,Application of Artificial Intelligence Technology in the Field of Medical Natural Language Processing,Takeshi Imai,Japanese Society for Artificial Intelligence,2020
,78,OS-03: Architecture for Autonomous Emergent General Artificial Intelligence,Satoshi Kurihara ; Hidenori Kawamura ; Ichiro Tsuda ; Kazuhiro Ohkura,Japanese Society for Artificial Intelligence,2020
,79,"Setsuo Ohsuga: Human Intelligence and Artificial Intelligence - A Way of Thinking toward Intelligence by an AI Researcher - Ohmsha, Ltd. (2020)",Youichiro Miyake,Japanese Society for Artificial Intelligence,2020
,80,"Editor's Introduction to ""Competitions for Artificial Intelligence Research""",Yoshinobu Kano,Japanese Society for Artificial Intelligence,2020
,81,For Application of Artificial Intelligence to Political Science,Kentaro Fukumoto,Japanese Society for Artificial Intelligence,2020
,82,Clinical Application Research in the Field of Ophthalmology Using Artificial Intelligence,Miroki Masumoto,Japanese Society for Artificial Intelligence,2020
,83,The 34th AAAI Conference on Artificial Intelligence (AAAI 2020),Mai Nishiguchi,Japanese Society for Artificial Intelligence,2020
,84,The Project for the Next Generation Artificial Intelligence Technologies and the AI Research Center (AIRC),Junichi Tsujii,Japanese Society for Artificial Intelligence,2020
,85,"Editors'Introduction to ""Application for Artificial Intelligence in Medicine""",Kouji Kozaki ; Shusaku Tsumoto,Japanese Society for Artificial Intelligence,2020
,86,Neural Networks and Evolutionary Computation. Part I: Hybrid Approaches in Artificial Intelligence,"Weiss, G.",IEEE,1994
,87,Cover Comment: Natural User Interface by Artificial Intelligence,Shinya Kitaoka,Japanese Society for Artificial Intelligence,2020
,88,The 28th International Joint Conference on Artificial Intelligence (IJCAI 2019),Takayuki Ito,Japanese Society for Artificial Intelligence,2020
,89,Variantome Driven Antibody/Peptide Design via Artificial Intelligence and Distributed Cooperative Automatic Experiment Devices,Yutaro Kyono ; Shohei Suzuki ; Masako Yamazaki ; Satoshi Tamaki,Japanese Society for Artificial Intelligence,2020
,90,An artificial intelligence membrane to detect network intrusion,"Okamoto, T.",Springer Science + Business Media,2011
,91,Artificial intelligence cooperation to support the global response to COVID-19,"Luengo-Oroz, Miguel",Springer Nature,2020
,92,Artificial Intelligence Methods for Large Microsensor Arrays: Feasibility and Design,"Gaura, E.; Newman, R.M.; Steele, N.",Wien; New York; Springer,2003
,93,Artificial Intelligence Algorithms in Behavioural Control of Wheeled Mobile Robots Formation,"Hendzel, Z.; Burghardt, A.; Szuster, M.",Springer Science,2014
,94,"Artificial intelligence, ethics and human values: the cases of military drones and companion robots","de Swarte, Thibault; Boufous, Omar; Escalle, Paul",Springer Nature,2019
,95,"Artificial Intelligence and Mobile Robots: Case Studies of Successful Robot Systems, edited by David Kortenkamp, R. Peter Barasso, and Robin Murphy","Yanco, H. A.",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2000
,96,Artificial intelligence in engineering risk analytics,"Wu, Desheng; Olson, David L.; Dolgui, Alexandre","Elsevier Science B.V., Amsterdam.",2017
,97,Artificial intelligence hybrid heuristic based on tabu search for the dynamic berth allocation problem,"Lalla-Ruiz, E.; Melian-Batista, B.; Marcos Moreno-Vega, J.","Elsevier Science B.V., Amsterdam.",2012
,98,Artificial intelligence for the metaverse: A survey,"Huynh-The, Thien","Elsevier Science B.V., Amsterdam.",2023
,99,Artificial intelligence in single screw polymer extrusion: Learning from computational data,"Gaspar-Cunha, António","Elsevier Science B.V., Amsterdam.",2022
,100,"Artificial Intelligence in Healthcare: Review, Ethics, Trust Challenges & Future Research Directions","Kumar, Pranjal","Elsevier Science B.V., Amsterdam.",2023
